Station,Sample,Filter,Photo,Type,Type2,Colour,Colour2,Colour3,Colour4,Col.Type,Length,Width,Area,Perimeter,Perimeter.2,Comments
907,A,19,0,Fibre,,Red transparent,,,,,468.38,17.3,,,,
907,B,20,0,Fragment,,Light green,,,,,249.9,54.08,53.01,54.08,,
907,C,21,0,Fragment,,White,,,,,390,320.14,125635.62,1536.36,,Piece of filter?
907,C,21,0,Fragment,,White,,,,,237.61,183.14,49841.21,1026.26,,Piece of filter?
908,A,22,0,Fibre,,Transparent/blue,,,,,995.29,16.53,,,,
908,A,22,1,Fibre,,Light red,,,,,532.03,15.71,,,,
908,A,22,2,Fragment,,White,,,,,1280.33,91.38,104038,2848.23,,
908,B,23,1,Fragment,,White,,,,,1086.36,90,66170.94,2251.38,,Same as in St908-A 02
908,B,23,2,Fibre,,Blue,,,,,2200.91,6.97,,,,
908,B,23,2,Fibre,,Blue,,,,,1513.96,6.97,,,,
908,B,23,3,Fibre,,Blue,,,,,938.94,12.99,,,,
908,B,23,4,Fragment,,White,,,,,419.08,56.21,35273.76,1200.09,,Same as in St908-A 02
908,C,24,0,Fibre,,Black,,,,,4980.94,13.84,,,,
908,C,24,1,Fibre,,Red,,,,,2767.09,11.2,,,,
908,C,24,2,Fibre,,Red,,,,,932.26,22.14,,,,
909,A,25,0,Fibre,,Black,,,,,5299.13,14.86,,,,
909,A,25,1,Fibre,,Transparent/blue,,,,,1405.56,17.4,,,,
909,A,25,2,Fragment,,Light blue,,,,,353.64,154.87,51868.65,943.48,,
909,A,25,3,Fibre,,Black,,,,,682.83,9.97,,,,
909,A,25,4,Fibre,,Transparent/blue,,,,,2004.4,12.46,,,,
909,A,25,5,Fragment,,Black,,,,,335.35,38.94,32427.23,1096.86,,Looks like rubber
909,A,25,6,Fragment,,Black,,,,,614.97,64.81,52713.66,2269.14,,Looks like rubber
909,A,25,7,Fibre,,Blue,,,,,1701.44,17.4,,,,
909,B,26,0,Fragment,,Black,,,,,664.68,366.77,225452.71,3489.48,,Looks like rubber
909,B,26,1,Fibre,,Transparent/blue,,,,,2015.33,14.35,,,,
909,B,26,2,Fibre,,Brown/red,,,,,1014.46,14.27,,,,
909,B,26,3,Fibre,,Transparent/blue,,,,,2811.52,12.57,,,,
909,B,26,4,Fibre,,Back,,,,,588.78,31.75,,,,
909,C,27,0,Fibre,,Red/brown,,,,,5434.15,15.59,,,,
909,C,27,1,Fibre,,Blue,,,,,1722.02,10.42,,,,
909,C,27,2,Fibre,,Red/brown,,,,,820.51,4.18,,,,
910,A,28,0,Fibre,,Blue,,,,,1950.35,7.61,,,,
910,A,28,1,Fibre,,Red,,,,,703.53,9.46,,,,
910,A,28,2,Fibre,,Transparent/blue,,,,,1593.95,16.03,,,,
910,A,28,3,Fibre,,Purple,,,,,669.05,7.37,,,,
910,A,28,6,Fragment,,Red,,,,,398.85,61.38,24097.02,900.23,,
910,A,28,7,Fibre,,Purple,,,,,638.52,12.17,,,,
910,A,28,8,Fibre,,Purple,,,,,941.32,7.61,,,,
910,A,28,9,Fibre,,Purple,,,,,420.16,10.96,,,,
910,A,28,10,Fibre,,Transparent/blue,,,,,816.28,8.21,,,,
910,A,28,10,Fibre,,Purple,,,,,1514.65,5.67,,,,
910,A,28,10,Fibre,,Red,,,,,675.28,17.2,,,,
910,B,29,0,Fibre,,Brown,,,,,500.43,3.77,,,,
910,B,29,0,Fibre,,Brown,,,,,1273.35,3.77,,,,
910,B,29,1,Fibre,,Brown,,,,,633.24,11.96,,,,Looks a bit like a hair
910,B,29,2,Fibre,,Black,,,,,1111.11,5.06,,,,
910,B,29,3,Fibre,,Black/brown,,,,,610.25,2.53,,,,
910,B,29,4,Fibre,,Black/brown,,,,,902.37,8.19,,,,
910,B,29,5,Fibre,,Black/brown,,,,,355.41,5.66,,,,
910,B,29,6,Paint,,Blue,,,,,169.66,56.6,9076.55,411.25,,
910,B,29,7,Fibre,,Transparent/blue,,,,,1192.67,5.66,,,,
910,B,29,7,Fibre,,Transparent/blue,,,,,2834.35,11.37,,,,
910,B,29,8,Fibre,,Transparent/red,,,,,2631.09,15.09,,,,
910,C,30,0,Paint,,,,,,,,,,,,Lots of paint from the boat
910,C,30,1,Fibre,,Brown/black,,,,,1010.94,3.9,,,,
910,C,30,2,Fibre,,Brown/black,,,,,1527.51,6.52,,,,
910,C,30,3,Fibre,,Brown/black,,,,,489.48,8.47,,,,
910,C,30,4,Fibre,,Brown/black,,,,,292.88,9.14,,,,
911,A,31,0,Fragment,,Black/transparent,,,,,407.56,66.69,37252.23,997.5,,Looks like rubber
911,A,31,1,Fibre,,Blue,,,,,1176.64,6.5,,,,
911,A,31,2,Fibre,,Transparent/blue,,,,,1049.64,13,,,,
911,A,31,3,Fibre,,Purple,,,,,2287.41,15.61,,,,
911,B,32,0,Fragment,,Blue,,,,,243.02,31.89,10429.67,608.42,,
911,B,32,1,Fragment,,Black/transparent,,,,,479.89,200.64,54301.12,1459.94,,
911,C,33,0,Fragment,,Purple,,,,,198.76,105.11,19508.29,577.88,,Looks like glas/crystal
911,C,33,2,Fibre,,Brown,,,,,485.77,7.79,,,,
911,C,33,3,Fragment,,Purple,,,,,303.68,202.3,54063.92,909.81,,Looks like glas/crystal
910+911,#NAME?,34,,,,,,,,,,,,,,nothing found
,Blank,0,0,Fibre,,Black,,,,,823.15,10.31,,,,Blank from the clean bench
912,A,35,0,Fibre,,Black,,,,,1039.23,7.41,,,,
912,A,35,1,Fibre,,Purple/black,,,,,890.22,6.99,,,,
912,A,35,2,Fibre,,Transparent/purple,,,,,997.14,8.04,,,,
912,A,35,3,Fibre,,Purple/black,,,,,369.83,2.47,,,,
912,A,35,4,Fibre,,Light blue,,,,,2462.95,9.88,,,,
912,B,36,,,,,,,,,,,,,,Nothing found
912,C,37,,,,,,,,,,,,,,Nothing found
912,Blank,49,2,Fibre,,transparent,,,,,787.38,17.96,,,,
912,Blank,49,3,Fibre,,transparent,,,,,1411.55,22.58,,,,
913,A,38,0,Fibre,,Transparent/blue,,,,,476.25,10.49,,,,
913,A,38,1,Fibre,,Transparent/red,,,,,1178.13,26.08,,,,
913,A,38,2,Paint,,Blue,,,,,,,,,,Paint from boat
913,A,38,2,Paint,,Blue,,,,,,,,,,Paint from boat
913,A,38,3,Paint,,Bright red,,,,,300.98,145.6,45539.28,1037.84,,
913,B,39,0,Fragment,,Purple,,,,,221.37,27.44,8748.33,527.19,,Looks like glas/crystal
913,B,39,1,Fibre,,Blue,,,,,923.74,12.27,,,,
913,C,40,0,Fibre,,Transparent/blue,,,,,718.48,11.8,,,,
913,Blank,41,0,Fibre,,Red/transparent,,,,,728.74,20.47,,,,
913,Blank,41,1,Fibre,,Purple/transparent,,,,,719.13,18.47,,,,
914,A,42,0,Fragment,,Purple,,,,,206.49,68.69,13863.66,539.4,,Looks like glas/crystal
914,A,42,1,Fragment,,Purple,,,,,252.69,102.88,26127.66,669.79,,Looks like glas/crystal
914,A,42,2,Fibre,,Transparent/blue,,,,,2654.19,18.25,,,,
914,A,42,3,Fibre,,Transparent/blue,,,,,1155.74,14.6,,,,
914,A,42,4,Fibre,,Transparent/blue,,,,,1905.98,23.39,,,,
914,A,42,5,Fragment,,Transparent/purple,,,,,200.99,65.93,6945.58,578.54,,
